#37-1	N
Guatemalan	C
plan	N
,	N
under	N
joint	N
cooperation	N
of	N
state	N
and	N
federal	C
governments	N
,	N
to	N
build	N
nearly	N
thirty	N
prisons	N
by	N
2018	N
,	N
including	N
""""	N
five	N
maximum	N
security	N
prisons	N
to	N
house	C
the	N
most	N
violent	C
convicts,	N
""""	N
and	N
to	N
create	N
intelligence	C
units	N
in	N
effort	N
to	N
counter	C
the	N
influence	C
of	N
powerful	N
inmates	C
.	N

#9-25	N
Temer	N
announced	C
more	N
than	N
one	N
billion	N
Brazilian	N
reals	N
(US$309	N
million)	N
as	N
the	N
budget	C
of	N
the	N
plan	N
.	N

#9-26	N
However	N
,	N
human	N
rights	N
activists	C
and	N
experts	N
were	N
skeptical	C
about	N
building	N
more	N
prisons	N
.	N

#42-40	N
For	N
this	N
we	N
basically	C
put	N
colonies	C
on	N
a	N
diet	C
of	N
either	N
food	N
with	N
medicine	N
or	N
without	N
for	N
a	N
while	N
.	N

#42-41	N
And	N
afterwards	C
either	N
infected	C
them	N
or	N
not	N
.	N

#42-43	N
This	N
gives	N
us	N
the	N
data	C
to	N
do	N
a	N
so-called	C
survival	C
analysis	C
.	N

#42-44	N
We	N
measured	C
the	N
ROS-concentration	C
in	N
the	N
bodies	N
of	N
ants	N
after	N
they	N
ingested	C
the	N
food	N
with	N
the	N
medicine	N
using	N
a	N
spectrophotometer	C
.	N

#42-45	N
By	N
adding	N
certain	N
chemicals	C
,	N
the	N
ROS	N
can	N
be	N
measured	N
using	N
the	N
emission	C
of	N
light	N
of	N
a	N
certain	N
wave-length	C
.	N

#42-46	N
The	N
detrimental	C
effect	N
of	N
ROS	C
on	N
spores	C
was	N
easy	N
to	N
measure	N
.	N

#42-47	N
We	N
mixed	N
different	N
concentrations	C
of	N
ROS	N
with	N
the	N
spores	C
,	N
plated	C
them	N
out	N
on	N
petridishes	C
with	N
an	N
agar-solution	C
where	N
fungus	C
can	N
grow	N
on	N
.	N

#17-16	N
Later	N
,	N
companies	N
like	N
Google	N
,	N
Yahoo	N
,	N
Tumblr	C
and	N
Vine	N
tweeted	C
with	N
hashtag	C
"""#LoveWins"""	N
.	N

#17-17	N
That	N
night	N
,	N
the	N
White	N
House	N
had	N
the	N
rainbow	N
projected	C
on	N
the	N
outside	N
of	N
the	N
building	N
to	N
celebrate	N
the	N
decision	C
.	N

#18-1	N
Palestinian	C
prisoner	C
Khader	N
Adnan	N
stops	N
hunger	N
strike	N
,	N
due	N
to	N
be	N
released	C
Khader	N
Adnan	N
,	N
a	N
senior	N
member	N
of	N
the	N
Palestinian	C
Islamic	C
Jihad	C
(PIJ)	N
movement	N
,	N
has	N
stopped	N
his	N
hunger	N
strike	N
.	N

#18-2	N
According	N
to	N
media	C
reports	N
on	N
Monday	N
,	N
Adnan	C
ceased	C
his	N
strike	N
after	N
achieving	C
an	N
agreement	C
with	N
Israel	N
entailing	C
his	N
release	N
from	N
administrative	C
detention	C
.	N

#18-3	N
Adnan's	N
strike	N
lasted	N
over	N
50	N
days	N
,	N
and	N
he	N
was	N
in	N
mortal	C
danger	N
for	N
the	N
last	N
couple	N
of	N
weeks	N
.	N

#18-4	N
Due	N
to	N
his	N
severe	C
deterioration	C
,	N
Israel	N
was	N
forced	N
to	N
hospitalize	C
him	N
,	N
and	N
placed	N
him	N
in	N
Assaf	N
Harofe	N
hospital	N
in	N
Israel	N
.	N

#18-5	N
Jawd	N
Boulos	N
,	N
Adnan's	N
lawyer	N
,	N
said	N
Adnan	N
is	N
due	N
to	N
be	N
released	C
on	N
July	N
12	N
.	N

#1-5	N
In	N
yesterday's	N
speech	N
May	N
also	N
ruled	N
out	N
continued	N
membership	C
of	N
the	N
customs	C
union	C
as	N
this	N
prevented	C
Britain	N
from	N
negotiating	C
trade	N
deals	C
with	N
non-EU	N
countries	N
.	N

#1-6	N
Theresa	N
May	N
also	N
said	N
Britain's	N
contributions	C
to	N
the	N
EU	N
budget	C
would	N
cease	C
,	N
although	N
some	N
contributions	C
would	N
be	N
made	N
to	N
some	N
pan-European	C
schemes	C
.	N

#1-7	N
In	N
her	N
words	N
,	N
""""	N
the	N
days	N
of	N
Britain	N
making	N
vast	C
contributions	C
to	N
the	N
European	N
Union	N
every	N
year	N
will	N
"end"""	N
.	N

#1-8	N
The	N
speech	N
also	N
covered	N
the	N
legal	N
status	N
of	N
both	N
UK	N
citizens	N
living	N
abroad	C
and	N
EU	N
citizens	N
living	N
in	N
the	N
UK	N
.	N

#1-9	N
May	N
said	N
she	N
wished	N
to	N
guarantee	C
the	N
status	N
of	N
both	N
,	N
but	N
that	N
she	N
also	N
sought	C
"""reciprocity"	N
""""	N
before	N
doing	N
so	N
,	N
and	N
noted	N
""""	N
one	N
or	N
two	N
""""	N
other	N
countries	N
had	N
not	N
been	N
willing	N
to	N
do	N
so	N
.	N

#1-10	N
Following	N
May's	N
speech	N
the	N
Secretary	N
of	N
State	N
for	N
Exiting	C
the	N
European	N
Union	N
,	N
David	N
Davis	N
,	N
echoed	C
the	N
Prime	N
Minister	N
in	N
a	N
speech	N
he	N
gave	N
to	N
Parliament	C
,	N
adding	N
""""	N
the	N
final	N
deal	N
agreed	N
between	N
the	N
UK	N
and	N
the	N
EU	N
will	N
be	N
put	N
to	N
a	N
vote	N
in	N
both	N
Houses	N
of	N
Parliament	C
before	N
it	N
takes	N
"effect"""	N
.	N

#25-1	N
US	N
economy	C
adds	N
215,000	N
jobs	N
in	N
July;	N
unemployment	C
rate	N
remains	N
steady	C
at	N
5.3%	N
The	N
Bureau	C
of	N
Labor	N
Statistics	C
reported	N
that	N
the	N
US	N
economy	C
added	N
215,000	N
jobs	N
in	N
July	N
.	N

#25-2	N
Job	N
growth	C
has	N
averaged	C
242,000	N
per	N
month	N
for	N
the	N
past	N
year	N
.	N

#25-3	N
Continuing	N
a	N
trend	C
of	N
steady	C
employment	N
growth	N
,	N
the	N
United	N
States	N
economy	C
added	N
215,000	N
jobs	N
in	N
July	N
,	N
the	N
Bureau	N
of	N
Labor	N
Statistics	C
said	N
on	N
Friday	N
.	N

#25-4	N
The	N
unemployment	N
rate	N
remained	C
unchanged	C
at	N
5.3%	N
.	N

#25-5	N
""""	N
Job	N
growth	N
is	N
quite	N
strong,	N
""""	N
stated	N
Jim	N
O'Sullivan	N
,	N
chief	C
economist	C
at	N
High	N
Frequency	N
Economics	N
,	N
a	N
data	C
analysis	C
firm	C
in	N
New	N
York	N
.	N

#25-6	N
""""	N
This	N
pace	C
of	N
employment	N
growth	N
is	N
clearly	N
strong	N
enough	N
to	N
keep	N
the	N
unemployment	N
rate	N
trending	C
down	N
.	N
""""	N

#25-7	N
Average	N
hourly	N
earnings	C
rose	C
0.2%	N
,	N
marking	N
a	N
rebound	C
after	N
growth	N
stalled	C
in	N
June	N
.	N

#25-8	N
Wages	C
have	N
grown	N
by	N
2.1%	N
over	N
the	N
past	N
year	N
,	N
below	N
the	N
Federal	C
Reserve's	N
target	N
of	N
3.5%	N
annual	C
wage	C
growth	N
,	N
and	N
not	N
much	N
more	N
than	N
the	N
underlying	C
rate	N
of	N
inflation	C
.	N

#41-26	N
Found	N
near	N
the	N
German	N
border	C
,	N
the	N
migrants	C
were	N
from	N
Afghanistan	N
,	N
Syria	C
,	N
and	N
Bangladesh	N
.	N

#42-1	N
Biologist	C
Nick	N
Bos	N
tells	N
Wikinews	N
about	N
'self-medicating'	N
ants	N
Nick	N
Bos	N
,	N
of	N
the	N
University	N
of	N
Helsinki	C
,	N
studies	N
""""	N
the	N
amazing	N
adaptations	C
social	N
insects	N
have	N
evolved	C
in	N
order	N
to	N
fight	N
the	N
extreme	C
parasite	C
pressure	N
they	N
"experience"""	N
.	N

#42-2	N
In	N
a	N
recently-accepted	N
Evolution	C
paper	N
Bos	N
and	N
colleagues	C
describe	N
ants	N
appearing	C
to	N
self-medicate	C
.	N

#42-3	N
I	N
have	N
no	N
doubt	N
that	N
as	N
time	N
goes	N
on	N
,	N
there	N
will	N
be	N
more	N
and	N
more	N
cases	N
documented	C
.	N

#42-4	N
The	N
team	N
used	N
Formica	N
fusca	N
,	N
an	N
ant	N
species	N
that	N
can	N
form	N
thousand-strong	C
colonies	C
.	N

#42-5	N
This	N
common	N
black	N
ant	N
eats	N
other	N
insects	N
,	N
and	N
also	N
aphid	C
honeydew	N
.	N

#42-6	N
It	N
often	N
nests	N
in	N
tree	N
stumps	C
or	N
under	N
rocks	N
and	N
foraging	C
workers	N
can	N
sometimes	N
be	N
spotted	C
climbing	N
trees	N
.	N

#42-7	N
Some	N
ants	N
were	N
infected	N
with	N
Beauveria	N
bassiana	C
,	N
a	N
fungus	C
.	N

#15-1	N
Putin	N
calls	N
US	N
troops	C
in	N
Poland	N
'a	N
threat'	N
Reports	N
yesterday	N
indicated	C
Russian	N
President	N
Vladimir	N
Putin	N
views	N
the	N
arrival	N
of	N
US	N
troops	C
in	N
Poland	N
as	N
""""	N
a	N
"threat"""	N
.	N

#15-2	N
US	N
troops	N
and	N
tanks	N
in	N
Poland	N
in	N
2015	N
,	N
as	N
part	N
of	N
an	N
earlier	N
deployment	C
under	N
Operation	C
Atlantic	N
Resolve	C
.	N

#15-3	N
Earlier	N
this	N
week	N
around	N
a	N
quarter	C
of	N
4,000	N
troops	C
earmarked	C
for	N
Poland	N
crossed	N
into	N
Poland	N
from	N
Germany	N
.	N

#15-4	N
Also	N
included	N
were	N
trucks	N
,	N
tanks	N
,	N
and	N
Humvees	C
.	N

#15-5	N
Many	N
are	N
set	N
to	N
be	N
based	C
in	N
Żagań	N
,	N
where	N
Polish	N
Prime	N
Minister	N
Beata	N
Szydło	N
and	N
Defence	N
Minister	N
Antoni	N
Macierewicz	N
are	N
scheduled	C
to	N
ceremonially	C
welcome	N
them	N
tomorrow	C
.	N

#15-6	N
Part	N
of	N
Operation	N
Atlantic	N
Resolve	N
,	N
the	N
deployment	C
is	N
set	N
to	N
include	N
Abrams	N
tanks	N
,	N
Bradley	N
Fighting	N
Vehicles	C
,	N
and	N
Paladin	C
artillery	C
.	N

#15-7	N
It	N
is	N
the	N
largest	N
deployment	C
of	N
US	N
troops	N
to	N
Europe	N
since	N
the	N
Cold	N
War	N
ended	N
.	N

#9-6	N
The	N
Ministry	N
of	N
Justice	C
and	N
state-run	C
news	N
outlet	C
Agência	N
Brasil	N
said	N
the	N
latest	N
riot	C
started	N
at	N
around	N
5:00	N
p.m.	N
,	N
local	N
time	N
,	N
on	N
Saturday	N
.	N

#9-7	N
It	N
continued	C
until	N
the	N
security	C
forces	N
quelled	C
the	N
riot	C
on	N
Sunday	N
at	N
around	N
7:15	N
a.m.	N
.	N

#9-8	N
Agence	N
France	N
Presse	N
(AFP)	N
and	N
Rio	N
de	N
Janeiro	C
newspaper	N
O	N
Globo	N
report	N
that	N
the	N
gang	C
members	N
of	N
the	N
Primeiro	C
Comando	N
da	N
Capital	N
(PCC)	N
and	N
Comando	N
Vermelho	N
were	N
the	N
latest	N
riot's	N
participants	C
.	N

#9-9	N
CNN	N
reports	N
that	N
its	N
participants	C
were	N
PCC	N
and	N
Sindicato	N
do	N
Crime	N
do	N
RN	N
.	N

#9-10	N
The	N
gangs	N
had	N
been	N
housed	C
in	N
separate	C
parts	N
of	N
the	N
prison	C
.	N

#9-11	N
Six	N
of	N
the	N
ringleaders	C
have	N
been	N
captured	C
and	N
sent	N
to	N
other	N
facilities	C
.	N

#9-12	N
Like	N
other	N
riots	C
this	N
year	N
,	N
overcrowding	C
may	N
have	N
contributed	C
to	N
the	N
latest	N
riot	C
.	N

#9-13	N
According	N
to	N
Brazil's	N
justice	N
department	C
,	N
the	N
Alcaçuz	N
prison	N
houses	N
more	N
than	N
1,000	N
inmates	C
on	N
a	N
capacity	C
of	N
620	N
.	N

#8-4	N
Robben	N
has	N
won	N
five	N
Bundesliga	C
titles	C
,	N
and	N
four	N
DFB-Pokal	N
titles	C
.	N

#8-5	N
In	N
2013	N
,	N
Robben	N
scored	C
the	N
winning	N
goal	C
in	N
the	N
UEFA	N
Champions	N
League	C
final	N
at	N
Wembley	N
Stadium	N
against	N
Bayern's	N
arch	C
rivals	C
Borussia	N
Dortmund	N
.	N

#8-6	N
After	N
signing	C
the	N
contract	C
,	N
Robben	N
said	N
,	N
""""	N
I'm	N
very	N
happy	N
that	N
I'll	N
be	N
playing	N
a	N
further	N
year	N
for	N
FC	N
Bayern	N
.	N

#8-7	N
The	N
club	N
is	N
one	N
of	N
the	N
best	N
in	N
the	N
world	N
and	N
Munich	C
has	N
become	N
a	N
second	N
home	N
for	N
me	N
and	N
my	N
family	N
.	N

#8-8	N
I	N
want	N
to	N
continue	C
playing	N
at	N
the	N
highest	N
level	N
and	N
win	N
as	N
many	N
trophies	C
as	N
possible	N
.	N
""""	N

#8-9	N
On	N
Sunday	N
,	N
Bayern	N
announced	C
signings	C
of	N
21-year-old	N
Niklas	N
Süle	N
and	N
26-year-old	N
Sebastian	N
Rudy	N
from	N
TSG	N
1899	N
Hoffenheim	N
who	N
are	N
to	N
join	N
the	N
Bayern	N
squad	C
in	N
July	N
.	N

#8-10	N
The	N
German	N
internationals	C
have	N
penned	C
a	N
five-year	N
and	N
a	N
three-year	N
contract	N
respectively	C
.	N

#21-16	N
This	N
is	N
the	N
Bianchi	C
family's	N
second	N
driver	N
death	N
.	N

#21-17	N
Lucien	N
Bianchi	N
,	N
the	N
1968	N
24	N
Hours	N
of	N
Le	N
Mans	N
winner	N
and	N
Jules's	N
great	N
uncle	N
,	N
was	N
killed	N
in	N
1969	N
during	N
testing	N
at	N
Circuit	N
de	N
la	N
Sarthe	C
,	N
where	N
the	N
24	N
Hours	N
of	N
Le	N
Mans	N
race	N
is	N
held	C
.	N

#21-18	N
Upon	N
the	N
news	N
of	N
his	N
death	N
,	N
many	N
drivers	N
sent	N
their	N
condolences	C
through	N
social	N
media	N
.	N

#21-19	N
Bianchi's	N
Marussia	N
team	N
mate	C
Max	N
Chilton	N
tweeted	C
,	N
""""	N
No	N
words	N
can	N
describe	C
what	N
his	N
family	N
and	N
the	N
sport	N
have	N
lost	N
.	N

#21-20	N
All	N
I	N
can	N
say	N
[is]	N
it	N
was	N
a	N
pleasure	C
knowing	N
and	N
racing	N
you	N
.	N
""""	N

#22-1	N
Former	N
Indian	N
president	N
APJ	N
Abdul	N
Kalam	N
dies	N
at	N
age	N
83	N
Portrait	C
of	N
former	N
Indian	N
president	N
Dr	N
.	N
APJ	N
Abdul	N
Kalam	N
,	N
also	N
known	N
as	N
the	N
Missile	N
Man	N
of	N
India;	N
2008	N
.	N

#22-2	N
Yesterday	N
,	N
former	N
Indian	N
president	N
APJ	N
Abdul	N
Kalam	N
died	N
at	N
the	N
age	N
of	N
83	N
after	N
collapsing	C
at	N
about	N
6:30	N
p.m	N
.	N
local	N
time	N
(0000	N
today	N
UTC)	N
while	N
delivering	C
a	N
speech	N
about	N
Livable	C
Planet	N
Earth	N
at	N
the	N
Indian	N
Institute	N
of	N
Management	N
Shillong	N
,	N
in	N
Meghalaya	N
,	N
India	N
.	N

#3-18	N
Earlier	N
in	N
2013	N
,	N
he	N
wrapped	C
himself	N
,	N
half	N
naked	N
,	N
in	N
a	N
cocoon	C
of	N
barbed	C
wire	N
.	N

#3-19	N
The	N
following	C
year	N
,	N
he	N
chopped	C
off	N
a	N
part	N
of	N
his	N
right	N
ear	N
lobe	N
with	N
a	N
chef's	N
knife	N
sitting	N
nude	C
on	N
a	N
roof	N
labelling	C
the	N
art	N
as	N
"""Segregation"""	N
.	N

#3-20	N
About	N
returning	N
to	N
Russia	N
,	N
Pavlensky	C
told	N
BBC	N
,	N
""""	N
I	N
have	N
no	N
desire	N
to	N
return	N
like	N
a	N
lamb	N
to	N
the	N
slaughter	C
,	N
especially	C
a	N
slaughter	C
that	N
is	N
desired	C
,	N
by	N
the	N
state	N
.	N
""""	N

#3-21	N
Pavlensky	N
and	N
Oksana	C
are	N
liable	C
to	N
be	N
sentenced	C
to	N
a	N
ten-year	N
jail	N
term	N
if	N
found	N
guilty	C
.	N

#30-1	N
Woman	N
fined	N
in	N
Spain	N
under	N
new	N
'Gag	N
Law'	N
The	N
posted	N
photo	N
of	N
a	N
police	N
vehicle	C
parked	N
in	N
handicapped	C
bay	N
in	N
Petrer	C
,	N
Spain;	N
license	C
number	N
removed	N
.	N

#30-2	N
A	N
woman	N
in	N
Spain	N
has	N
been	N
fined	N
€800	N
after	N
posting	C
a	N
photograph	C
to	N
her	N
Facebook	N
account	N
of	N
a	N
police	N
vehicle	C
parked	N
in	N
space	N
reserved	C
for	N
disabled/handicapped	C
drivers	N
.	N

#38-12	N
""""	N
Eventually	C
after	N
many	N
incidents	C
of	N
his	N
anger	C
coming	N
to	N
the	N
fore	C
,	N
we	N
dismissed	C
him	N
.	N

#38-14	N
A	N
video	N
of	N
the	N
shooting	N
,	N
which	N
appeared	C
to	N
have	N
been	N
captured	C
from	N
the	N
point	N
of	N
view	N
of	N
the	N
shooter	N
,	N
was	N
posted	N
on	N
Bryce	N
Williams'	N
Twitter	N
and	N
Facebook	N
pages	N
several	N
hours	N
afterwards	C
.	N

#39-1	N
Austrian	N
police	N
find	N
dozens	N
dead	N
inside	N
lorry	C
To	N
write	N
,	N
edit	N
,	N
start	N
or	N
view	N
other	N
articles	C
on	N
Austria	N
,	N
see	N
the	N
Austria	N
Portal	C
Flag	N
of	N
Austria.svg	C
The	N
turning	N
for	N
Parndorf	C
off	N
the	N
A4	N
,	N
from	N
file	N
.	N

#39-2	N
The	N
lorry	C
was	N
found	N
on	N
the	N
road	N
nearby	N
.	N

#39-3	N
Austrian	N
police	N
today	N
found	N
an	N
estimated	C
20–50	N
decomposing	C
corpses	C
in	N
an	N
apparently	C
abandoned	C
lorry	C
.	N

#39-4	N
Roadworkers	C
who	N
spotted	C
the	N
vehicle	C
,	N
which	N
had	N
been	N
there	N
since	N
yesterday	C
at	N
least	N
,	N
alerted	C
police	N
.	N

#39-5	N
Responding	C
officers	N
found	N
it	N
full	N
of	N
corpses	C
.	N

#11-13	N
The	N
researchers	C
say	N
this	N
shows	N
the	N
amygdala	C
is	N
likely	N
to	N
control	N
hunting	C
and	N
biting	C
behavior	N
across	N
many	N
or	N
all	N
jawed	C
vertebrates	C
.	N

#11-14	N
The	N
experiments	C
were	N
funded	C
by	N
national	N
research	N
organizations	C
in	N
the	N
United	N
States	N
and	N
China	N
and	N
the	N
government	N
of	N
Brazil	N
.	N

#11-15	N
The	N
findings	N
inspired	C
comparisons	C
by	N
the	N
research	C
team	N
and	N
the	N
press	N
to	N
zombies	C
from	N
The	N
Walking	N
Dead	N
,	N
especially	C
since	N
the	N
behavior	C
was	N
more	N
pronounced	C
when	N
the	N
animals	N
were	N
hungry	N
.	N

#11-16	N
Researchers	N
noted	N
the	N
subjects	C
did	N
not	N
attack	N
any	N
of	N
the	N
other	N
mice	C
.	N

#11-17	N
The	N
scientists	N
say	N
this	N
shows	N
they	N
were	N
stimulating	C
predatory	C
behavior	N
specifically	C
and	N
not	N
making	N
the	N
animals	N
generally	N
more	N
angry	N
or	N
aggressive	C
.	N

#11-18	N
However	N
,	N
the	N
study	N
did	N
not	N
state	N
whether	N
the	N
laser	C
resembled	C
the	N
light	N
of	N
a	N
full	N
moon	N
.	N

#12-1	N
Man	N
charged	C
over	N
motorway	C
bridge	N
collapse	C
in	N
Kent	N
,	N
England	N
Reports	N
yesterday	N
indicated	C
a	N
63-year-old	N
man	N
has	N
been	N
charged	C
in	N
connection	N
with	N
the	N
collapse	C
of	N
a	N
pedestrian	C
bridge	N
onto	N
the	N
M20	N
motorway	C
in	N
Kent	N
,	N
England	N
last	N
year	N
.	N

#42-48	N
A	N
day	N
after	N
,	N
we	N
counted	C
how	N
many	N
spores	C
were	N
still	N
alive	N
.	N

#42-49	N
Wikinews:	N
How	N
reliable	C
do	N
you	N
consider	N
your	N
results	N
to	N
be?	N

#42-50	N
NB:	N
The	N
results	N
we	N
got	N
are	N
very	N
reliable	C
.	N

#42-51	N
We	N
had	N
a	N
lot	N
of	N
colonies	C
containing	C
a	N
lot	N
of	N
ants	N
,	N
and	N
wherever	N
possible	N
we	N
conducted	C
the	N
experiment	C
blind	C
.	N

#42-52	N
This	N
means	N
the	N
experimenter	C
doesn't	N
know	N
which	N
ants	N
belong	N
to	N
which	N
treatment	N
,	N
so	N
it's	N
impossible	C
to	N
influence	C
the	N
results	N
with	N
'observer	N
bias'	N
.	N

#42-53	N
However	N
,	N
of	N
course	N
this	N
is	N
proof	C
in	N
just	N
one	N
species	C
.	N

#42-54	N
It	N
is	N
hard	N
to	N
extrapolate	C
to	N
other	N
ants	N
,	N
as	N
different	N
species	N
lead	N
very	N
different	N
lives	N
.	N

#42-55	N
Cquote1.svg	N
At	N
the	N
moment	N
it	N
seems	N
that	N
sick	N
ants	N
mostly	N
take	N
care	N
of	N
the	N
problem	N
themselves	N
Cquote2.svg	N
Wikinews:	N
Where	N
did	N
the	N
ants	N
and	N
fungus	C
you	N
used	N
come	N
from?	N

#41-19	N
Slovak	C
chicken	N
meat	N
company	N
Hyza	C
,	N
a	N
previous	N
owner	N
,	N
previously	C
told	N
Wikinews	C
the	N
lorry	C
has	N
changed	C
hands	N
several	N
times	N
in	N
roughly	C
the	N
last	N
year	N
.	N

#41-20	N
After	N
they	N
sold	N
it	N
they	N
say	N
it	N
was	N
exported	C
to	N
Hungary;	N
it	N
now	N
bears	C
Hungarian	C
plates	N
but	N
still	N
features	C
Hyza	N
branding	C
including	C
pictures	N
of	N
meat	N
.	N

#41-21	N
On	N
the	N
day	N
of	N
the	N
discovery	C
Hyza	N
quickly	N
removed	C
a	N
graphic	C
from	N
their	N
homepage	C
featuring	C
cartoon	N
chicken	N
stowaways	C
in	N
a	N
car	N
being	N
inspected	C
at	N
a	N
customs	C
post	N
.	N

#41-22	N
The	N
stowaways	C
also	N
appeared	C
with	N
a	N
line	N
through	N
them	N
alongside	C
the	N
word	N
"""imigranti"""	N
.	N

#41-23	N
Police	N
today	N
found	N
26	N
migrants	C
in	N
a	N
lorry	C
near	N
Braunau	C
am	N
Inn	N
,	N
Austria	N
.	N

#41-24	N
The	N
driver	N
,	N
from	N
Romania	N
,	N
refused	C
to	N
stop	N
for	N
police	N
and	N
was	N
arrested	N
following	N
a	N
chase	C
.	N

#41-25	N
Police	N
said	N
three	N
children	N
were	N
hospitalised	C
for	N
""""	N
severe	C
"dehydration"""	N
.	N

#32-2	N
Everson	N
served	C
as	N
Commissioner	C
of	N
Internal	N
Revenue	C
,	N
the	N
administrative	C
head	N
of	N
the	N
Internal	N
Revenue	C
Service	N
(IRS)	N
from	N
2003	N
to	N
2007	N
,	N
during	N
the	N
George	N
W	N
.	N
Bush	N
administration	C
.	N

#32-3	N
After	N
his	N
departure	C
,	N
he	N
briefly	C
served	N
as	N
CEO	N
of	N
the	N
American	N
Red	N
Cross	N
,	N
worked	N
in	N
the	N
cabinet	C
of	N
Indiana	N
governor	N
Mitch	N
Daniels	N
,	N
and	N
worked	N
for	N
the	N
tax	N
consulting	C
firm	N
alliantgroup	C
.	N

#32-4	N
He	N
announced	C
his	N
candidacy	C
this	N
past	N
March	N
with	N
a	N
sixteen-page	N
open	N
letter	N
in	N
which	N
he	N
outlined	C
the	N
six	N
pillars	C
of	N
his	N
campaign:	N
amnesty	C
for	N
illegal	C
immigrants	C
,	N
reinstatement	C
of	N
the	N
military	N
draft	C
,	N
a	N
promise	N
to	N
serve	N
only	N
a	N
single	N
presidential	N
term	N
,	N
and	N
calls	N
for	N
tax	N
reform	N
,	N
deficit	C
reduction	N
,	N
and	N
corporate	N
responsibility	N
.	N

#32-5	N
He	N
was	N
excluded	C
from	N
the	N
August	N
6	N
Fox	N
News	N
Republican	N
presidential	C
debate	C
and	N
has	N
been	N
excluded	C
from	N
most	N
presidential	C
polls	N
.	N

#27-6	N
He	N
was	N
appointed	C
to	N
the	N
position	C
in	N
June	N
of	N
2014	N
.	N

#27-7	N
Choe	C
was	N
involved	C
with	N
trade	N
talks	C
between	N
the	N
two	N
Koreas	C
in	N
the	N
mid-2000s	N
.	N

#27-8	N
In	N
2004	N
,	N
he	N
attended	C
the	N
opening	N
of	N
the	N
Kaesong	C
Industrial	C
Region	N
,	N
a	N
joint	N
venture	C
of	N
the	N
two	N
nations	N
.	N

#27-9	N
South	N
Korea's	N
Ministry	N
of	N
Unification	C
told	N
both	N
Reuters	C
and	N
BBC	N
it	N
was	N
monitoring	C
the	N
situation	N
but	N
Choe	N
has	N
not	N
been	N
seen	N
publicly	C
since	N
December	N
.	N

#27-10	N
Back	N
in	N
April	N
,	N
South	N
Korea's	N
National	N
Intelligence	N
Service	N
said	N
executions	C
had	N
been	N
ordered	N
for	N
fifteen	N
officials	C
including	C
a	N
""""	N
forestry	N
"official"""	N
.	N

#27-11	N
Choe	N
Yong-gon	N
was	N
not	N
mentioned	C
by	N
name	N
,	N
nor	N
is	N
it	N
known	N
now	N
if	N
the	N
report	N
was	N
referring	C
to	N
Choe	N
.	N

#27-12	N
Yonhap	C
has	N
attributed	C
roughly	C
70	N
executions	C
of	N
officials	N
to	N
Kim	N
Jong-un's	N
rule	N
which	N
began	N
after	N
the	N
death	N
of	N
his	N
father	N
Kim	N
Jong-il	N
in	N
December	N
2011	N
.	N

#10-14	N
The	N
US	N
troops	C
are	N
set	N
to	N
rotate	C
around	N
the	N
region	C
every	N
nine	N
months	N
.	N

#10-15	N
Other	N
planned	C
host	C
nations	C
are	N
Estonia	C
,	N
Latvia	C
,	N
Lithuania	C
,	N
Romania	C
,	N
Bulgaria	C
,	N
and	N
Hungary	C
.	N

#10-16	N
The	N
rotation	C
is	N
due	N
to	N
a	N
treaty	C
with	N
Russia	N
preventing	C
permanent	C
deployment	C
to	N
any	N
particular	N
territory	C
.	N

#10-17	N
Russian	N
Deputy	N
Foreign	C
Minister	N
Alexei	N
Mechkov	N
said	N
the	N
incoming	C
troops	N
and	N
vehicles	C
were	N
a	N
""""	N
factor	C
destabilising	C
European	N
"security"""	N
.	N

#10-18	N
The	N
presence	C
of	N
US	N
assets	C
""""	N
threatens	C
our	N
interests	N
and	N
our	N
security,	N
""""	N
according	N
to	N
Russian	N
President	N
Vladimir	N
Putin	C
.	N

#10-19	N
Putin's	N
administration	C
described	C
the	N
deployment	C
as	N
""""	N
a	N
"threat"""	N
.	N

#10-20	N
Polish	N
relations	C
with	N
Russia	N
are	N
strained	C
.	N

#10-21	N
Since	N
the	N
annexation	C
of	N
Crimea	C
,	N
Russia	N
has	N
recently	N
been	N
increasing	C
its	N
military	N
presence	C
in	N
Kalingrad	C
.	N

#10-22	N
The	N
enclave	C
,	N
Russian	N
territory	C
lying	N
between	N
Poland	N
and	N
Lithuania	N
,	N
now	N
has	N
nuclear-capable	C
Iskander	C
missiles	C
and	N
anti-ship	N
Bastion	C
equipment	C
.	N

#6-9	N
""""	N
Chelsea	N
Manning	N
exposed	C
serious	C
abuses,	N
""""	N
says	N
Margaret	N
Huang	N
,	N
executive	C
director	N
of	N
the	N
U.S	N
.	N
branch	N
of	N
Amnesty	C
International	C
,	N
""""	N
and	N
as	N
a	N
result	N
her	N
own	N
human	N
rights	N
have	N
been	N
violated	C
.	N
""""	N

#6-10	N
Huang	N
went	N
on	N
to	N
call	N
Obama's	N
order	N
for	N
Manning's	N
release	N
""""	N
long	N
overdue	C
.	N
""""	N

#6-11	N
Despite	C
being	N
a	N
trans	N
woman	N
,	N
Manning	N
was	N
housed	C
in	N
a	N
men's	N
prison	N
,	N
